#{"t_start": 1697836653.4682465, "env_id": null}
r,l,t
5200,6771,121.278493
20900,9138,167.559732
48500,9008,200.890199
22600,11889,242.851171
5900,5591,269.306874
37100,10754,318.536689
28300,13925,365.739554
56300,14213,425.942281
4100,6094,452.607221
4700,5323,477.583492
44300,12255,530.491346
64900,14760,579.322978
62700,13024,635.569183
54800,9501,672.973742
52500,15592,746.536798
16100,8789,780.921046
28900,12375,822.924174
42100,13935,882.325377
64700,9150,916.646431
4300,6110,944.0884
23100,11592,997.630109
37300,10457,1036.267172
6700,6676,1065.557128
31600,13374,1122.440523
23900,14312,1181.927078
6800,6974,1210.748786
6300,6020,1237.633754
24000,11546,1277.601869
11800,9753,1314.039294
7700,8379,1357.721825
6600,7452,1387.83044
8700,11180,1426.921517
19900,10848,1466.862229
35500,16981,1542.85847
3500,6915,1572.397856
31100,11745,1610.104054
4400,5235,1632.815314
3800,6702,1658.588907
109900,26431,1750.366337
23200,16042,1808.185834
25600,8531,1850.074682
11900,10418,1885.779075
6000,7126,1915.364608
60600,12647,1971.825691
4100,5502,1985.943724
4700,6713,2015.280438
13700,9293,2061.940243
47800,14018,2109.613404
3700,6519,2137.306556
19800,8716,2170.905845
15600,10431,2220.815384
5100,8373,2254.070792
5300,6881,2284.036452
4900,6521,2312.406887
4200,6176,2339.257465
17600,10277,2377.547199
3500,6587,2405.901931
12300,10408,2443.569139
5900,8301,2475.753698
3100,8104,2506.477135
5500,6953,2535.500708
21400,10669,2585.43439
4800,8221,2617.090107
3100,5873,2643.590071
30000,12346,2686.572936
4200,7095,2716.094877
4300,6838,2745.405482
5600,6682,2774.167357
15900,10007,2812.861071
8800,10654,2861.87714
4100,6809,2890.308858
5100,5736,2904.324183
4500,7114,2934.409294
4300,5325,2959.606861
4200,6616,2988.063496
4100,6338,3015.355487
12600,8668,3049.403944
6000,7122,3077.998933
4800,8517,3111.133942
5400,8934,3145.063647
3000,7008,3174.273672
3800,6131,3200.853571
5900,5962,3227.823278
4900,8208,3259.470897
4600,6366,3287.28924
34000,15390,3348.920379
11000,12676,3405.392136
4600,7340,3435.606667
5400,6905,3453.228965
3800,7311,3482.619448
2400,6199,3509.049173
6000,5977,3537.306577
6100,6984,3567.660175
6700,6515,3596.630445
4000,7059,3627.593357
8200,10128,3665.757756
3000,6878,3693.862081
3100,7191,3723.55372
9400,11993,3774.88693
3400,6726,3802.466228
5100,6667,3819.219754
4500,7063,3848.480819
4800,6277,3875.724324
27200,7541,3906.17945
2300,6337,3933.632254
3600,6738,3962.547893
3100,6664,3990.767106
2700,6655,4019.244191
17100,11330,4060.327962
4400,7676,4091.245068
2700,6604,4119.114329
23600,12630,4173.544264
3800,7474,4203.514054
11200,10809,4242.140115
3700,6905,4271.105067
2100,6807,4299.698067
4100,7219,4329.453618
3500,7214,4360.013106
2400,6948,4388.473977
4500,6640,4416.550429
5100,5005,4440.781532
10700,10059,4477.093127
6100,5472,4502.324419
14300,11342,4542.256935
4600,7088,4571.335481
7700,7851,4602.693592
21100,15759,4665.350286
3100,6722,4694.061933
2100,7441,4724.228214
1800,6504,4751.936132
5000,7882,4783.057388
13500,13222,4838.917631
2300,6092,4865.531333
5300,6495,4882.295084
2900,7222,4911.663399
12100,10076,4959.07899
1900,7058,4987.854735
6400,6838,5016.512398
2900,6145,5031.296163
4400,6647,5058.886402
4300,6356,5086.2364
4500,7471,5116.190652
3100,6999,5144.987013
2600,6703,5172.763935
4300,7318,5202.219522
4100,7260,5231.429611
3100,5804,5256.96438
2900,6234,5284.022537
2500,6076,5299.261979
2200,6722,5327.3042
5400,8148,5359.322318
2400,6357,5386.26537
6500,7074,5415.122761
5100,6641,5442.677855
3200,7025,5471.418208
6600,7782,5502.134914
3400,7086,5531.003193
5000,5117,5554.972534
3700,7040,5583.86507
2800,7243,5613.106312
1900,4558,5624.304022
14900,11082,5674.061546
2400,6431,5701.517582
2000,6447,5717.445655
25500,10709,5766.369025
2700,6995,5795.146899
4800,6221,5822.127816
3500,6107,5837.363651
3100,6836,5865.533372
5800,6610,5893.030932
4100,6585,5920.589496
3800,7493,5950.525366
5700,7415,5980.129818
3600,7230,6009.448898
3900,5821,6034.972617
5500,6408,6062.500092
3500,6545,6089.964473
3500,6973,6107.149639
3000,6497,6134.974508
1000,6873,6163.336061
1100,5733,6188.630423
3100,7340,6218.061552
1600,7546,6248.204186
5400,6858,6276.631864
3000,7085,6305.316836
2900,7457,17756.513693
4800,6870,17785.842242
11200,11511,17826.417241
2800,6358,17854.094972
2700,7940,17884.785292
2400,5583,17909.956354
4700,6929,17938.822315
2400,6588,17966.778835
3400,7417,17996.752069
2400,5487,18022.562919
1700,7118,18040.408819
4600,6748,18068.674898
3300,6748,18097.425068
2000,6432,18124.852674
2000,5412,18149.753149
2300,7343,18179.593805
2600,8300,18211.897923
2800,8257,18244.24668
5200,6675,18272.338341
1200,6258,18299.528089
3300,7102,18328.484801
3900,7642,18358.372897
3400,4919,18371.032552
4100,7253,18400.683923
3800,7448,18431.432905
2400,6661,18459.181754
4200,7828,18490.184076
3000,5957,18515.962273
4300,7162,18545.173841
2300,6002,18571.109987
3800,7006,18599.554931
3100,7224,18628.73578
1300,6459,18655.917671
2200,5895,18670.769212
2300,6229,18697.53319
3900,7025,18725.995546
2700,6698,18754.233069
2600,5171,18778.058385
3000,5926,18804.169789
2800,7105,18822.020263
3300,5910,18847.563711
2200,6610,18875.197371
3900,7850,18905.901615
2500,5157,18931.315545
3200,6566,18958.342708
1500,6429,18984.574058
3500,7664,19013.80948
2500,6502,19040.43536
5100,6858,19056.041519
2300,7189,19083.708499
4700,8285,19114.151721
3300,6019,19140.151849
3800,5755,19166.878252
2300,5514,19191.228194
2800,6129,19217.674348
2900,6228,19233.626496
3200,7182,19262.681463
1100,5592,19288.7413
4200,7842,19322.236252
2900,6634,19350.231117
3900,6209,19377.638733
2600,5452,19403.140755
3700,7290,19434.980932
2000,5436,19447.634102
1800,5983,19474.435812
2400,6243,19502.575802
2100,7210,19533.331059
2600,5683,19560.283811
2600,7132,19590.442538
2000,5503,19604.119707
3700,6807,19633.875017
2500,6557,19662.069971
1900,6441,19690.402824
2300,7369,19719.920978
2300,5620,19745.564139
2600,6536,19773.526767
5000,6859,19802.715511
4700,7293,19832.539476
3900,6486,19848.783773
2900,4641,19871.751049
2300,6725,19900.430272
2300,4647,19923.576446
3200,6703,19938.626126
2800,5277,19962.074446
1500,6379,19988.812361
2700,6444,20016.653783
6300,7941,20048.136269
1900,6210,20075.416552
2400,6031,20102.169368
1600,6729,20119.246292
3100,6553,20146.892941
4400,7009,20175.956844
2700,7320,20206.29445
1900,6907,20235.131664
1000,5806,20261.867118
2400,6063,20288.744088
3700,7031,20317.960794
2300,6571,20346.383788
1000,4700,20358.099961
2300,4530,20380.789079
3000,6200,20408.198575
2900,6929,20437.004255
2300,6228,20452.69572
4100,8019,20484.4621
2900,6099,20510.99586
2000,7480,20541.427591
2900,8695,20574.750294
3200,5797,20600.545766
2000,6490,20627.831083
2500,5971,20654.208729
3500,6569,20681.759273
1000,6370,20708.815396
1900,7759,20739.584406
2000,6455,20755.934263
3000,7095,20784.931135
4000,7228,20814.161723
3200,6945,20842.76264
3100,7136,20871.900749
2600,6514,20899.639932
3800,7420,20929.616027
2400,7408,20959.145361
2900,6419,20986.330101
2100,5215,21010.598665
2300,5293,21024.023879
4300,7380,21053.826418
2300,6846,21082.325015
4000,6490,21109.49262
1700,6356,21136.883521
2000,5756,21162.519599
2000,6781,21190.842557
400,7208,21220.098145
2000,6897,21248.988588
3500,6033,21264.077803
2900,7041,21292.928549
2600,6388,21320.149806
1600,6916,21348.655117
2100,6877,21377.552386
2600,5937,21404.002756
4900,6648,21431.71305
3500,7965,21463.172167
3200,6807,21491.446337
3400,6694,21519.703637
1500,6769,21536.700595
2000,5711,21561.954571
9400,10991,21614.506303
2300,6080,21629.149191
4300,7933,21673.145036
3700,7003,21689.171782
1700,6230,21714.834968
3100,6693,21742.197975
1100,5750,21766.720789
1100,5538,21791.847564
3900,6999,21820.074249
4600,6958,21848.757409
2600,6358,21863.788418
4400,7394,21892.744411
2400,7927,21925.113328
1300,6746,21953.680428
2400,6722,21983.321678
2400,8361,22015.815617
3300,7025,22045.152176
2900,7482,22076.27996
2000,5628,22102.71737
2900,8309,22137.947227
1000,4921,22161.597332
3600,7023,22190.213087
2400,7087,22220.297197
2900,7042,22248.780608
2600,7109,22276.823623
1300,6227,22292.122891
2200,6577,22323.052574
2000,5869,22349.458104
2100,6727,22378.189001
2000,5099,22402.456136
3700,6240,22429.280058
3500,6789,22446.008622
1600,6421,22473.469631
2800,5600,22498.723353
4400,6676,22526.806941
2600,7017,22555.468535
2600,5214,22580.531271
2300,7298,22610.045414
3500,7272,22639.718484
3900,5707,22653.457732
1800,6709,22682.528727
1700,6661,22710.763439
3000,5937,22737.051487
1300,6183,22766.959649
2100,6155,22794.811733
2000,4905,22806.517361
5900,8081,22839.65656
4400,6333,22867.820933
2700,6670,22897.118088
2300,6284,22925.512088
3200,6849,22955.282614
2600,4961,22967.501715
2800,7015,22997.444407
3000,6548,23026.915935
1500,6726,23057.161792
3100,6569,23086.819403
3100,6356,23115.754727
1500,6078,23143.699147
2500,5063,23156.411612
2600,6549,23185.600252
1000,6153,23213.396494
1000,5115,23238.373699
1000,5279,23251.758859
1000,5821,23278.925125
1600,6805,23308.863401
400,7233,23338.923816
1300,5377,23364.952502
500,7051,23395.579332
2000,4814,23407.167378
1800,6732,23436.716743
2900,8192,23469.122111
2000,6536,23498.246065
2600,6382,23526.317565
1400,5874,23553.376752
2400,6869,23582.859581
2000,7431,23613.283004
2500,6339,23641.70818
1100,6766,23670.735551
2000,5236,23683.201875
2200,6420,23712.200063
1900,6796,23741.65492
1300,7508,23773.032961
1000,6489,23802.036358
2600,6389,23830.83601
2300,7799,23863.142594
3800,7494,23894.863824
3400,7561,23926.344522
1000,6571,23955.725716
2500,5971,23971.158236
2600,7024,24001.897149
3400,6191,24030.554171
2000,5145,24056.007811
2000,4846,24079.929534
1300,5513,24093.532563
1000,5126,24118.665406
2700,6735,24147.909482
3400,6720,24177.25915
1000,6236,24205.096795
9400,9526,24241.085497
2300,6444,24269.639616
1300,5793,24283.67469
1300,6334,24312.267164
1800,7300,24343.016583
300,6397,24371.789229
3400,5700,24398.352375
3100,7088,24428.69018
2000,4927,24453.620346
2000,4575,24464.589321
2000,5505,24491.6487
1000,5369,24517.600348
3200,6691,24534.135181
2900,6475,24562.830734
4700,5868,24589.132524
2300,6401,24617.399584
2500,6657,24646.711478
300,5833,24673.57293
500,5799,24688.268521
3200,7246,24718.548549
2800,7139,24749.771931
3000,6506,24781.661719
1700,5467,24810.632554
3500,6284,24842.43332
3000,6603,24874.303949
3200,5961,24891.379517
2000,5641,24920.878311
2600,6545,24953.163042
2000,5881,24983.031173
1300,5828,25013.048982
1900,6602,25044.774316
3500,7499,25079.274584
2700,5920,25095.28513
1500,6597,25127.318676
1600,5546,25156.461612
1300,6086,25186.706107
1300,5159,25202.159158
1500,6566,25233.92363
2100,6056,25264.016036
2600,6516,25295.763574
1000,5688,25325.211867
2600,5624,25354.470185
2000,4814,25367.341376
2300,5727,25396.554883
2700,5922,25426.554599
1200,5858,25456.378224
2300,6718,25475.398501
1000,4671,25501.762064
1000,5968,25531.946305
2000,5037,25546.171226
2300,5991,25576.802668
9200,9400,25630.662
2300,5904,25646.494384
3800,6297,25677.99487
1600,6329,25709.216871
2500,6893,25742.266637
1600,6576,26275.436652
2600,5997,26302.579203
300,5768,26317.379329
2000,5283,26342.381336
1000,5991,26368.69196
3600,6688,26397.262009
2300,6238,26424.425117
1000,6287,26440.559689
1400,5529,26466.136485
1900,5291,26490.461904
2300,6765,26518.999757
1600,6397,26546.911621
2000,4854,26559.350894
2600,5732,26585.208627
2300,5160,26609.660075
2600,6169,26636.789656
1600,6514,26653.475893
0,5115,26677.713916
1000,4828,26701.008657
1000,5552,26727.216664
2000,5245,26740.281363
1600,6188,26767.150208
1900,6473,26795.275586
1300,6109,26822.113196
2600,5665,26848.463616
3400,6762,26865.797243
1300,5932,26891.998207
2400,5498,26917.219038
2000,5014,26941.030113
2200,6969,26970.099399
3900,6313,26985.909833
1600,6790,27014.013869
2300,6252,27040.732654
2800,6718,27068.849397
1300,5078,27092.959413
2900,5870,27108.123173
900,6448,27135.858146
300,6145,27162.573816
2300,5827,27188.570066
2000,5079,27212.547351
2700,5556,27226.602116
2000,4608,27249.215196
2900,6323,27276.12414
2300,5377,27301.151784
1300,6177,27316.862161
2000,6250,27343.478687
2000,5722,27369.031921
2600,5455,27394.297971
2300,6385,27421.871196
2600,7187,27439.969346
2300,5945,27466.346671
300,6342,27494.326736
2900,6161,27521.318827
2200,6197,27548.113745
300,6004,27574.659899
2200,6229,27590.699411
2000,5785,27616.345383
2000,4565,27638.872961
1300,5805,27669.205461
1300,4398,27679.302204
1300,4891,27702.187662
1700,5439,27726.415745
2300,5473,27738.760959
600,5452,27763.001945
2100,5612,27787.717821
300,5969,27813.009366
3100,6698,27828.130158
2300,5838,27853.144816
2400,5829,27878.290356
1300,5188,27903.313172
1300,5794,27917.450858
1700,5792,27947.866049
1300,5607,27976.103385
2900,5356,28005.038605
2300,5033,28018.400797
3500,6727,28059.141592
2600,6099,28093.784132
1000,5453,28123.249265
1700,6116,28153.09302
2600,7021,28192.291244
2300,5611,28215.111596
2000,5027,28258.19591
2300,6000,28308.181433
1000,4560,28329.795273
2300,5172,28375.713632
1000,5005,28420.471218
2900,6192,28471.284226
2900,5575,28498.219571
1300,5433,28546.369739
4100,7042,28598.939245
2700,6799,28646.299908
1900,5856,28689.346867
2000,5441,28712.137542
300,5999,28759.087407
1300,5382,28801.779656
2500,6032,28849.650551
2300,6087,28893.723274
2000,5377,28918.644533
2000,5335,28963.718483
2000,5690,29008.992815
3100,5494,29034.281394
1200,6615,29082.973606
2000,5842,29127.243422
3700,6794,29178.740144
600,5534,29222.32066
1400,5631,29266.18024
1300,6122,29294.290872
2300,5420,29338.896377
1000,6125,29384.046711
2300,7040,29433.553749
2000,5357,29476.707742
2000,4830,29499.48418
2700,5789,29546.246529
2000,5107,29590.820005
2300,5870,29618.277971
2900,6218,29670.656543
1000,5194,29714.273605
2300,5205,29759.002808
1300,5649,29786.198287
2900,5868,29834.179888
2600,6375,29887.389874
2000,5179,29932.553408
2000,4899,29956.451973
2600,6623,30007.862718
300,5346,30046.898017
2300,5671,30087.090621
2000,4964,30106.160218
3200,5996,30150.021963
3300,5417,30191.929283
0,4823,30230.869904
1000,6264,30255.748719
1600,6074,30298.002381
2300,5277,30337.365574
0,5681,30380.163229
1000,5150,30402.632106
2200,6742,30448.682504
2300,5545,30489.020085
2000,4304,30525.780101
2700,5175,30549.348654
2300,5914,30595.097268
300,5337,30635.400258
2300,5371,30678.361959
2300,5487,30702.899853
1600,5682,30747.443691
1400,5286,30789.036596
2300,5546,30814.014807
1000,6209,30862.288227
2300,6389,30913.575374
2000,5911,30955.67469
1300,5472,31000.015213
2400,6267,31028.698851
1300,6430,31077.664685
2400,6260,31128.777689
2300,5423,31176.285942
3900,7268,31229.253137
2000,4923,31271.203902
1700,5713,31297.13376
1000,5139,31340.045187
2000,4879,31381.725668
2300,5280,31405.770828
2500,6518,31454.907798
1300,5417,31502.530002
2000,5584,31551.8824
1400,5149,31577.989886
1300,4864,31623.218184
2300,5418,31669.547088
1600,5955,31716.187743
2600,5981,31743.441603
1000,4455,31786.113405
2000,6635,31840.629761
1600,5137,31887.818971
1300,6269,31917.77031
1600,5651,31964.504694
1000,5199,32007.314778
300,5263,32031.087287
1000,5004,32072.417691
1600,5877,32117.771951
1000,5428,32161.40516
1700,5627,32185.961266
2300,6539,32231.259279
2000,5483,32273.964981
3200,5346,32316.662033
2000,5170,32340.206019
2000,4694,32380.181861
2000,5158,32421.395632
3300,6057,32463.894519
2400,6468,32490.656165
2000,5532,32530.506809
2000,5168,32568.311805
2300,5052,32606.03955
1400,4353,32623.838668
1300,6124,32668.36806
2000,5474,32712.21858
1300,5216,32736.093623
1000,5136,32778.560142
2300,4796,32819.477094
1000,5268,32843.534639
2600,5662,32886.155049
2900,4686,32923.388425
1000,5429,32946.262447
1000,3985,32981.449333
900,6231,33028.178862
2000,4427,33048.237228
1900,6227,33095.534398
2600,5193,33138.105232
2300,5438,33179.436718
1700,5247,33201.632104
2000,6688,33247.471719
2700,5601,33287.345076
2300,6093,33329.72682
2600,4588,33348.63582
3300,6047,33390.884561
2100,5592,33433.216308
2000,5326,33475.929816
2000,5427,33500.677717
4000,5515,33545.939034
2700,6784,33596.91496
0,5165,33639.162361
2600,6639,33683.558703
3000,6199,33726.578507
4700,6434,33752.724625
3300,4521,33791.403664
2400,6227,33838.460526
2700,6145,33884.791957
3000,6043,33912.215942
2100,5401,33955.323743
2300,4479,33993.901338
1300,5366,34016.211162
1300,6029,34059.259237
2700,6121,34105.154619
2000,5655,34148.722365
1200,5300,34190.937353
2700,5985,34217.935867
2300,5312,34260.748825
2000,4597,34297.819774
2300,5857,34323.726603
2700,7066,34371.656858
1400,5145,34410.752069
2300,5702,34454.674432
1000,5338,34496.894669
1000,5588,34522.227114
2200,6491,34570.173978
3200,6990,34620.074764
1300,4501,34658.74542
2000,4296,34676.858676
3600,5906,34717.158537
2000,4878,34750.012247
1300,5305,34774.938603
1100,5536,34827.351043
2000,4601,34870.105656
1700,5879,34919.396983
2600,5284,34945.147967
2300,5349,34991.752011
1600,6309,35044.633173
0,4999,35069.3423
0,5271,35116.120999
1900,6275,35169.272173
2000,4848,35214.137237
1000,4624,35236.142726
1000,5446,35284.770135
1000,4932,35331.883694
2900,5302,35358.332828
2200,5649,35404.71597
2000,5896,35453.589131
1000,5093,35499.624918
1300,5218,35525.002244
1400,6140,35574.523426
2600,6479,35627.895459
2300,5887,38773.693061
1000,6396,38813.225642
2300,5887,38866.704928
